indice_tiempo,indice_precios_exportacion,var_mensual_porcentaje,var_anual_porcentaje,indice_precios_importacion,var_porcentaje_precio_1,var_porcentaje_precio_2,indice_terminos_intercambio,var_porcentaje_terminos_intercambio_1,var_porcentaje_terminos_intercambio_2
1990-01-01,89.5,,,110.3,,,81.1423390752493,,
1990-04-01,84.4,-5.698324022346357,,111.8,1.3599274705349051,,75.4919499105546,-6.963552233137715,
1990-07-01,87.0,3.08056872037914,,112.3,0.4472271914132353,,77.4710596616207,2.6216169451325877,
1990-10-01,91.5,5.1724137931034475,,116.9,4.096170970614432,,78.27202737382379,1.0338928055219077,
1991-01-01,84.4,-7.759562841530043,-5.698324022346357,114.5,-2.0530367835757124,3.80779691749773,73.71179039301309,-5.826138831221539,-9.15742480056596
1991-04-01,84.7,0.35545023696681444,0.35545023696681444,112.0,-2.183406113537123,0.17889087656530744,75.625,2.5955272511848593,0.17624407582934598
1991-07-01,86.1,1.6528925619834656,-1.0344827586206917,105.2,-6.071428571428572,-6.3223508459483435,81.8441064638783,8.223611853062218,5.644748918316433
1991-10-01,87.5,1.6260162601626105,-4.371584699453557,105.3,0.0950570342205248,-9.923011120615921,83.09591642924981,1.5295053235433453,6.1629795691726885
1992-01-01,86.1,-1.6000000000000014,2.014218009478652,104.4,-0.8547008547008517,-8.82096069868995,82.47126436781609,-0.7517241379310979,11.883409598518302
1992-04-01,86.9,0.9291521486643584,2.5974025974025983,102.7,-1.6283524904214586,-8.303571428571422,84.61538461538458,2.5998391852050107,11.888111888111851
1992-07-01,89.2,2.6467203682393414,3.600464576074347,104.1,1.3631937682570427,-1.0456273764258617,85.6868395773295,1.2662649550257976,4.695186103775439
1992-10-01,86.6,-2.9147982062780353,-1.0285714285714342,105.1,0.9606147934678289,-0.18993352326686086,82.3977164605138,-3.8385394222030578,-0.8402337909474422
1993-01-01,85.2,-1.6166281755196188,-1.0452961672473782,104.6,-0.4757373929590858,0.19157088122603305,81.45315487571699,-1.1463443713873644,-1.234502101918078
